ID,Name,Bundesland,GeomID1,GeomID2,JsonID,JsonIDwater,JsonNr,JsonWaterNr
1001,"Flensburg, kfS",1,70,NA,24449704B53799813184684,24449704B42327839875976,364,419
1002,"Kiel, kfS",1,105,NA,24449704B42318501446225,24449704B74956450586012,365,420
1003,"Lübeck, kfS",1,231,NA,24449704B68465484967847,,366,0
1004,"Neumünster, kfS",1,15,NA,24449704B40609488983374,,367,0
1051,Dithmarschen,1,58,NA,24449704B92890203084413,24449704B79218321473065,368,421
1053,Herzogtum Lauenburg,1,302,NA,24449704B26583852637810,,369,0
1054,Nordfriesland,1,246,NA,24449704B7931759116453,24449704B72453104741911,370,422
1055,Ostholstein,1,272,NA,24449704B44862843877877,24449704B5313324557452,371,423
1056,Pinneberg,1,247,NA,24449704B835744828544,24449704B93840311392638,372,424
1057,Plön,1,88,NA,24449704B65981358400864,24449704B83891775331025,373,425
1058,Rendsburg-Eckernförde,1,258,NA,24449704B56778301649977,24449704B95441513803552,374,426
1059,Schleswig-Flensburg,1,259,NA,24449704B17200367935629,24449704B5166885060165,375,427
1060,Segeberg,1,59,NA,24449704B59381395830256,,376,0
1061,Steinburg,1,325,NA,24449704B13286408753823,24449704B63261765006043,377,428
1062,Stormarn,1,89,NA,24449704B70065874395310,,378,0
2000,"Hamburg, kfS",2,52,NA,24449704B47752490191242,24449704B56670172586310,162,405
3101,"Braunschweig, kfS",3,346,NA,24449704B97397018428857,,197,0
3102,"Salzgitter, kfS",3,166,NA,24449704B33300792473642,,198,0
3103,"Wolfsburg, kfS",3,339,NA,24449704B78108087750349,,199,0
3151,Gifhorn,3,322,NA,24449704B48445934083586,,200,0
3153,Goslar,3,238,NA,24449704B67643508541575,,201,0
3154,Helmstedt,3,307,NA,24449704B39650484605729,,202,0
3155,Northeim,3,146,NA,24449704B67423622024986,,203,0
3157,Peine,3,22,NA,24449704B58849880716091,,204,0
3158,Wolfenbüttel,3,147,NA,24449704B87545488159631,,205,0
3159,Göttingen,3,306,372,24449704B36685369765138,,206,0
3241,Region Hannover,3,294,NA,24449704B56583571101803,,213,0
3251,Diepholz,3,54,NA,24449704B91626558272399,,207,0
3252,Hameln-Pyrmont,3,355,NA,24449704B80337645952533,,208,0
3254,Hildesheim,3,239,NA,24449704B50568751816991,,209,0
3255,Holzminden,3,82,NA,24449704B53915908685994,,210,0
3256,Nienburg (Weser),3,198,NA,24449704B58735187040715,,211,0
3257,Schaumburg,3,295,NA,24449704B14747762571645,,212,0
3351,Celle,3,100,NA,24449704B9718639386642,,214,0
3352,Cuxhaven,3,197,NA,24449704B13986593393984,24449704B45066260020248,215,411
3353,Harburg,3,370,NA,24449704B58473503462577,,216,0
3354,Lüchow-Dannenberg,3,178,NA,24449704B50547812773180,,217,0
3355,Lüneburg,3,371,NA,24449704B50655543542415,,218,0
3356,Osterholz,3,7,NA,24449704B47497081980031,,219,0
3357,Rotenburg (Wümme),3,8,NA,24449704B40112273193215,,220,0
3358,Heidekreis,3,392,NA,24449704B78897164823992,,221,0
3359,Stade,3,227,NA,24449704B67459323092731,24449704B47136606337007,222,412
3360,Uelzen,3,114,NA,24449704B85092418584391,,223,0
3361,Verden,3,393,NA,24449704B74680623677722,,224,0
3401,"Delmenhorst, kfS",3,354,NA,24449704B29660768084329,,225,0
3402,"Emden, kfS",3,5,NA,24449704B34948389435230,24449704B54510824969724,226,413
3403,"Oldenburg, kfS",3,165,NA,24449704B67518636503479,,227,0
3404,"Osnabrück, kfS",3,101,NA,24449704B96398818121879,,228,0
3405,"Wilhelmshaven, kfS",3,265,NA,24449704B4117348101900,24449704B19669653251017,229,414
3451,Ammerland,3,35,NA,24449704B24855562142477,,230,0
3452,Aurich,3,177,NA,24449704B85075679624110,24449704B13785788901744,231,415
3453,Cloppenburg,3,321,NA,24449704B33286596684477,,232,0
3454,Emsland,3,21,NA,24449704B80940038958894,,233,0
3455,Friesland,3,391,NA,24449704B38677606159112,24449704B90755686624439,234,416
3456,Grafschaft Bentheim,3,6,NA,24449704B24462500693885,,235,0
3457,Leer,3,55,NA,24449704B47542563804474,24449704B75042405875870,236,417
3458,"Oldenburg, LK",3,226,NA,24449704B8746113835319,,237,0
3459,"Osnabrück, LK",3,102,NA,24449704B95496837251529,,238,0
3460,Vechta,3,240,NA,24449704B18159687381539,,239,0
3461,Wesermarsch,3,36,NA,24449704B71957467521611,,240,0
3462,Wittmund,3,266,NA,24449704B59544465737471,24449704B52455772865949,241,418
4011,"Bremen, kfS",4,207,NA,24449704B51248366651218,24449704B38441109293311,160,403
4012,"Bremerhaven, kfS",4,208,NA,24449704B20408807353793,24449704B11636990723195,161,404
5111,"Düsseldorf, kfS",5,347,NA,24449704B93432694164172,,242,0
5112,"Duisburg, kfS",5,373,NA,24449704B23811583153302,,243,0
5113,"Essen, kfS",5,211,NA,24449704B66079718940915,,244,0
5114,"Krefeld, kfS",5,331,NA,24449704B71371397957415,,245,0
5116,"Mönchengladbach, kfS",5,332,NA,24449704B8697873440410,,246,0
5117,"Mülheim an der Ruhr, kfS",5,130,NA,24449704B74636173305320,,247,0
5119,"Oberhausen, kfS",5,282,NA,24449704B23670260546456,,248,0
5120,"Remscheid, kfS",5,179,NA,24449704B51434706653062,,249,0
5122,"Solingen, kfS",5,180,NA,24449704B79762507889470,,250,0
5124,"Wuppertal, kfS",5,10,NA,24449704B19296545723736,,251,0
5154,Kleve,5,330,NA,24449704B47343475066218,,252,0
5158,Mettmann,5,397,NA,24449704B84987585710152,,253,0
5162,Rhein-Kreis Neuss,5,298,NA,24449704B12650705116276,,254,0
5166,Viersen,5,168,NA,24449704B38602454923080,,255,0
5170,Wesel,5,24,NA,24449704B88669482639222,,256,0
5314,"Bonn, kfS",5,83,NA,24449704B32205151841416,,257,0
5315,"Köln, kfS",5,348,NA,24449704B7784282030977,,258,0
5316,"Leverkusen, kfS",5,297,NA,24449704B27762647031806,,259,0
5334,Städteregion Aachen,5,228,NA,24449704B1019749608143,,267,0
5358,Düren,5,210,NA,24449704B93996923829651,,260,0
5362,Rhein-Erft-Kreis,5,149,NA,24449704B60858904883565,,261,0
5366,Euskirchen,5,280,NA,24449704B82645608020151,,262,0
5370,Heinsberg,5,281,NA,24449704B52652564836653,,263,0
5374,Oberbergischer Kreis,5,375,NA,24449704B79417850737356,,264,0
5378,Rheinisch-Bergischer Kreis,5,9,NA,24449704B50545436099213,,265,0
5382,Rhein-Sieg-Kreis,5,299,NA,24449704B62267247174074,,266,0
5512,"Bottrop, kfS",5,309,NA,24449704B86867369732355,,268,0
5513,"Gelsenkirchen, kfS",5,199,NA,24449704B28828341709286,,269,0
5515,"Münster, kfS",5,396,NA,24449704B21947596923640,,270,0
5554,Borken,5,279,NA,24449704B5449167279442,,271,0
5558,Coesfeld,5,356,NA,24449704B14316962493265,,272,0
5562,Recklinghausen,5,267,NA,24449704B90170043937993,,273,0
5566,Steinfurt,5,268,NA,24449704B84356220299322,,274,0
5570,Warendorf,5,398,NA,24449704B25042101982955,,275,0
5711,"Bielefeld, kfS",5,296,NA,24449704B71733698354597,,276,0
5754,Gütersloh,5,56,NA,24449704B30078743043830,,277,0
5758,Herford,5,57,NA,24449704B85709215240922,,278,0
5762,Höxter,5,241,NA,24449704B14519632440551,,279,0
5766,Lippe,5,374,NA,24449704B4077491049710,,280,0
5770,Minden-Lübbecke,5,37,NA,24449704B74305659781214,,281,0
5774,Paderborn,5,84,NA,24449704B53216259841165,,282,0
5911,"Bochum, kfS",5,308,NA,24449704B36304455290520,,283,0
5913,"Dortmund, kfS",5,394,NA,24449704B71692807567970,,284,0
5914,"Hagen, kfS",5,129,NA,24449704B18986349000209,,285,0
5915,"Hamm, kfS",5,395,NA,24449704B41399175003870,,286,0
5916,"Herne, kfS",5,329,NA,24449704B62823999835836,,287,0
5954,Ennepe-Ruhr-Kreis,5,167,NA,24449704B44943749249561,,288,0
5958,Hochsauerlandkreis,5,148,NA,24449704B25702513240652,,289,0
5962,Märkischer Kreis,5,115,NA,24449704B35956595432819,,290,0
5966,Olpe,5,376,NA,24449704B47240282005265,,291,0
5970,Siegen-Wittgenstein,5,150,NA,24449704B44716267894030,,292,0
5974,Soest,5,23,NA,24449704B74168082156657,,293,0
5978,"Unna, LK",5,181,NA,24449704B97959561036742,,294,0
6411,"Darmstadt, kfS",6,33,NA,24449704B7725696435683,,163,0
6412,"Frankfurt am Main, kfS",6,195,NA,24449704B90557041617889,,164,0
6413,"Offenbach am Main, kfS",6,277,NA,24449704B62616574022565,,165,0
6414,"Wiesbaden, kfS",6,80,NA,24449704B89647765726926,,166,0
6431,Bergstraße,6,237,NA,24449704B12486114102211,,167,0
6432,Darmstadt-Dieburg,6,98,NA,24449704B71373077031100,,168,0
6433,Groß-Gerau,6,343,NA,24449704B38174924859568,,169,0
6434,Hochtaunuskreis,6,196,NA,24449704B81897632078804,,170,0
6435,Main-Kinzig-Kreis,6,336,NA,24449704B35488823473674,,171,0
6436,Main-Taunus-Kreis,6,344,NA,24449704B39620931960474,,172,0
6437,Odenwaldkreis,6,79,NA,24449704B65785150095676,,173,0
6438,"Offenbach, LK",6,145,NA,24449704B89007621147061,,174,0
6439,Rheingau-Taunus-Kreis,6,305,NA,24449704B25971146569722,,175,0
6440,Wetteraukreis,6,128,NA,24449704B76089621469895,,176,0
6531,Gießen,6,224,NA,24449704B912582487754,,177,0
6532,Lahn-Dill-Kreis,6,175,NA,24449704B9504957616135,,178,0
6533,Limburg-Weilburg,6,209,NA,24449704B70066291706973,,179,0
6534,Marburg-Biedenkopf,6,319,NA,24449704B50101601747418,,180,0
6535,Vogelsbergkreis,6,34,NA,24449704B11268099067857,,181,0
6611,"Kassel, kfS",6,369,NA,24449704B76292363002710,,182,0
6631,Fulda,6,67,NA,24449704B84714376451878,,183,0
6632,Hersfeld-Rotenburg,6,127,NA,24449704B21625014531941,,184,0
6633,"Kassel, LK",6,78,NA,24449704B38822815001263,,185,0
6634,Schwalm-Eder-Kreis,6,176,NA,24449704B81297409685986,,186,0
6635,Waldeck-Frankenberg,6,337,NA,24449704B5258237949646,,187,0
6636,Werra-Meißner-Kreis,6,225,NA,24449704B72111143080721,,188,0
7111,"Koblenz, kfS",7,116,NA,24449704B64406719115201,,295,0
7131,Ahrweiler,7,85,NA,24449704B68312641203161,,296,0
7132,Altenkirchen,7,357,NA,24449704B27488206120462,,297,0
7133,Bad Kreuznach,7,242,NA,24449704B80949017579767,,298,0
7134,Birkenfeld,7,212,NA,24449704B98534691171020,,299,0
7135,Cochem-Zell,7,243,NA,24449704B59360639157591,,304,0
7137,Mayen-Koblenz,7,182,NA,24449704B47275208160397,,300,0
7138,Neuwied,7,270,NA,24449704B92838657364687,,301,0
7140,Rhein-Hunsrück-Kreis,7,68,NA,24449704B88529409180961,,305,0
7141,Rhein-Lahn-Kreis,7,324,NA,24449704B67083444881821,,302,0
7143,Westerwaldkreis,7,350,NA,24449704B53852774480690,,303,0
7211,"Trier, kfS",7,184,NA,24449704B14797882988170,,306,0
7231,Bernkastel-Wittlich,7,323,NA,24449704B59582983721926,,307,0
7232,Eifelkreis Bitburg-Prüm,7,200,NA,24449704B45388255725236,,308,0
7233,Vulkaneifel,7,283,NA,24449704B10559392830728,,309,0
7235,Trier-Saarburg,7,131,NA,24449704B62978961378768,,310,0
7311,"Frankenthal (Pfalz), kfS",7,310,NA,24449704B22156249550892,,311,0
7312,"Kaiserslautern, kfS",7,213,NA,24449704B26584203476926,,312,0
7313,"Landau in der Pfalz, kfS",7,38,NA,24449704B60821325022623,,313,0
